,desc,location,size,value
80,3 Bedroom at Eden Ville on Kiambu Road,"Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 25000000
81,7 Bedroom in Runda Mimosa Vale,"mimosa valley, Runda, Nairobi, Nairobi",7 Bedrooms,KSh 100000000
82,18 0211 SR Prime Residential Complex. 17 01 04,"Grevellia Groove, Brookside, Nairobi, Nairobi",5 Bedrooms,KSh 240000000
83,5 Bedrooms House in Kitisuru Nairobi on Half Acre,"Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 67500000
84,17 1012 ST Sensational voluminous branded townhouse on offer. 17 04 22,"Lower Kabete, Lower Kabete, Nairobi, Nairobi",5 Bedrooms,KSh 155000000
85,Stunning 5 Bedroom Town House for sale in Gated Community,"Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
86,17 1019 ST This is a true find for a fortunate buyer. 17 06 20,"Syokimau Estate, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 14000000
87,A Charming 5 Bedroom all Ensuite Townhouse in Riverside Drive,"Riverside, Nairobi, Nairobi",5 Bedrooms,KSh 72000000
88,Executive 3 Bedroom Maisonette for sale in Lavington,"Lavington, Nairobi, Nairobi",3 Bedrooms,KSh 45000000
89,Beautiful 3 Bedroom Bungalow With Own Compound (Quick Sale),"Saika Kangundo Road, Kangundo Road, Nairobi, Nairobi",3 Bedrooms,KSh 6700000
90,"3 Bed Massionettes  for sale in Kitengela,Almond Groove","Kajiado, Nairobi, Nairobi",3 Bedrooms,KSh 8600000
91,Newly Built 4 Bedroom (all Ensuite) Double Storey,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
92,4 Bedroom House for sale in Karen,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
93,17 1006 ST Modern living for the new lucky owner. 17 09 29,"Kitisuru Estate, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
94,17 1042 ST Remarkable corner townhouse - Superb investment opportunity. 17 10 12,"Off Peponi Road, Spring Valley, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
95,"Modern 4 Bedroom Townhouse Master Ensuite, near Yaya","KILIMANI, Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
96,TownHouse in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 48500000
97,Kencom Sacco Estate Runda,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
98,Exquisite 4 Bedroom on 1 Acre Parcel of Land.,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
99,4 Bedroom Standard Houses in Kiambu Road,"Kiambu Road-Nairobi, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 28950000
100,Runda Gardens Townhouse,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
101,The Riverine Kitengela,"Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 15000000
102,17 1039 ST Architecturally designed magnificence villa 17 10 12,"Off Peponi Road, Spring Valley, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
103,Luxurious 5 Bedrooms Very Spacious Home in Runda,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
104,Newly Built 5 Bedroom (all Ensuite) Double Storey,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
105,Luxurious 5 Bedrooms plus 2sq House in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
106,Luxurious 5 Bedrooms all Ensuite plus 2 Sq Home in Kyuna,"Kyuna, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
107,World Class Luxurious 5 Bedrooms Plus 2 Bedrooms Guest Wing Home in Runda.,"Runda, Nairobi, Nairobi",7 Bedrooms,KSh 150000000
108,Luxurious 3 Bedrooms all Ensuite plus SQ Very Spacious House in Kileleshwa,"Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 30000000
109,Prime Property – Old Muthaiga,"Old Muthaiga, Muthaiga, Nairobi, Nairobi",3 Bedrooms,KSh 180000000
110,Plot with Two Houses on Kyuna Road,"Kyuna Rd, Kyuna, Nairobi, Nairobi",8 Bedrooms,KSh 145000000
111,Bamboo  Gardens  - New 5 Bedroom Double- Storey Plus Sq  On Eighth Acre   for sale in Ruiru,"Bamboo Gardens Ruiru, Ruiru, Nairobi, Nairobi",5 Bedrooms,KSh 30000000
112,Modern Villa in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
113,Sunrise Avenue! Karen Five Bedroom Townhouse,"karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 88000000
114,Large Family Home in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
115,Country Living – Red Hill,"Redhill, Red Hill, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
116,Golden Rays ! Westlands 5 Bedroom Townhouse,"westlands brookside drive, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 135000000
117,Quick Sale of Spa in Kilimani,"Kilimani, Kilimani, Nairobi, Nairobi",1 Bedrooms,KSh 7000000
118,Four Bedroom House with a Sq  in Kerarapon.,"Kerarapon, Kerarapon, Nairobi, Nairobi",4 Bedrooms,KSh 33000000
119,Palatial 5 Bedroom House in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 115000000
120,Milky Valley ! Runda 4 Bedroom Maisonette,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 29000000
121,4 Bedroom House on 0.25 acres - off Othaya Rd - Lavington,"Kauria Close off Othaya Rd - 2km from Valley Arcade, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
122,6 Bedroom Houses in Kitisuru - Magnolia Lake Side,"Kirawa Rd, Kitisuru, Nairobi, Nairobi",6 Bedrooms,KSh 140000000
123,"6 Bedrooms, 2 Storey House for sale in Garden Estate Nairobi","off Garden Estate Road, Garden Estate, Nairobi, Nairobi",5 Bedrooms,KSh 52500000
124,Stylish Urban Villa in Karen,"Karen, Nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
125,Modern Townhouse at Kitsuru,"kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
126,Exclusive Modern 4 Bedroom Townhouse,"Limuru road, Red Hill, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
127,Life’s Good! South C Mugoya Estate Four Bedroom Maisonette with SQ,"south c, South C, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
