,desc,location,size,value
425,Uptown Urban Lifestyle! Lavington 4 Bed Townhouse,"Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 63000000
426,5 Bedroom House for sale in Karen - 3ke1342396,"Off Langata Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
427,Muthaiga North 5 Bedroom,"Muthaiga North, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
428,"Ambiance Living in Kileleshwa, Nairobi","Othaya Road, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
429,4 Bedroom House For Sale In Mombasa Road (Kenya) - 3KE1376377,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 24000000
430,4 Bedroom House For Sale In Muthaiga (Kenya) - 3KE1357305,"Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 295000000
431,"5 Bedroom House, Off Kiambu Road","Kiambu Road, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
432,Beautiful 3 Bedroom Country Style Bungalow on 1/2 Acre in Karen,"Karen, Karen, Nairobi, Nairobi",3 Bedrooms,KSh 50000000
433,5 Bedroom Villa In Karen - Kerarapon Road - 2191,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
434,An Exquisite  4 Bedroom Town House,"Karen,Nairobi, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
435,Exquisite 4 Bedroom House for sale in Kihingo Village,"Kihingo village, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 140000000
436,House in Syokimau,"Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 10000000
437,3 Bedroom Country Style Bungalow on 1/2 Acre in Karen,"Dagoretti Lane, Dagoretti Road, Nairobi, Nairobi",3 Bedrooms,KSh 50000000
438,A Spacious and Stunning 2 Bedroom Bungalow (Own Compound) at Thika Road on Distress,"Witeithie, Ruiru, Nairobi, Nairobi",3 Bedrooms,KSh 1450000
439,5 Bedroom Luxury Houses for sale on Kiambu Road,"Kiambu Road-Nairobi, Kiambu Road, Nairobi, Nairobi",5 Bedrooms,KSh 50250000
440,"4 Bedroom Detached House for sale in Mida Creek, Watamu  Ref Map2","Ndege, Riruta, Nairobi, Nairobi",4 Bedrooms,KSh 20000000
441,Eye Candy! Lavington Five Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
442,LAVINGTON - 5 BEDROOMS TOWN HOUSE.,"OFF JAMES GICHURU, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
443,4 Bedroom Townhouse For Sale In Westlands (Kenya) - 3KE1320951,"Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 38000000
444,Townhouse in Lavington,"Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
445,4 Bedroom House For Sale In Karen (Kenya) - 3KE1331475,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 185000000
446,Spacious 4 Bedroom House,"manyani road, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 215000000
447,for sale Runda 5 Bedroom  Gated Community Pool Gym 90m,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
448,Beautiful Hotel for Sale off Museum Hill,"Parklands, Parklands, Nairobi, Nairobi",1 Bedrooms,KSh 420000000
449,KAREN - 4 BEDROOMS ALL - ENSUITE HOUSE ON  0.6 ACRE.,"Off Ongata rongai road., Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
450,Modern 5 Bedroom Townhouse for sale in Lavington,"Lavington Kenya, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 50000000
451,Luxurious 4 Bedroom House in Westlands with Servant Quarter( Sq) on 1/8 Acre with a Small Garden.,"Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
452,House in Syokimau,"Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
453,4 Bedroom House in Thome Estate,"Thome, Nairobi, Nairobi",4 Bedrooms,KSh 20000000
454,4 Bedroom House for sale in Karen - 3ke1320697,"Fair Acres Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 73000000
455,An Enchanting Old 2 Bedroom Bungalow for sale in Kiambaa,"Kiambaa, Waiyaki Way, Nairobi, Nairobi",2 Bedrooms,KSh 6000000
456,5 Bedroom House for sale in Karen - 3ke1341815,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
457,2 Bedroom Townhouse  Maisonette Two En-suite near Junction Mall,"Riara, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
458,5 Bedroom Townhouse For Sale In Lower Kabete (Kenya) - 3KE1301559,"Lower Kabete, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
459,5 Bedroom Townhouse For Sale In Lavington (Kenya) - 3KE1341260,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 50000000
460,"3 Bedroom Maisonette, Utawala","Utawala , Nairobi, Nairobi",3 Bedrooms,KSh 9200000
461,House For Sale In Upper Hill (Kenya) - 3KE1307998,"Upper Hill, Nairobi, Nairobi",3KE1307998 Object ID,KSh 140000000
462,Elegant 5 Bedroom House - Karen,"Nandi Lane, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 300000
463,House in Tigoni Limuru,"Limuru road, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
464,Cosy 4 Bedroom Bungalow For Sale,"Loresho, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 82000000
465,Magnificent 3 Bedroom Maisonette,"Ruaka, Ruaka, Nairobi, Nairobi",3 Bedrooms,KSh 17000000
466,Charming 4 Bedroom Townhouse for sale in Lavington,"Muthangari Gradens Rd, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
467,5 Bedroom House For Sale In Kitisuru (Kenya) - 3KE1279194,"Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 123000000
468,4 Bedroom Apartment,"miotoni road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
469,5 Bedroom House In Westlands - Donyo Sabuk Avenue - 2186,"Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 105000000
470,Apartment,"shanzu road, Uhuru, Nairobi, Nairobi",5 Bedrooms,KSh 62000000
471,"The Greenwood, Kitisuru","Kitisuru, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 125000000
472,Belken Villas for sale on Riverside Drive,"Riverside, Riverside, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
473,5 Bedroom Townhouse Syokimau,"Syokimau, Nairobi, Nairobi",5 Bedrooms,KSh 80000
474,4 Bedroom House For Sale In South C (Kenya) - 3KE1366684,"South C, Nairobi, Nairobi",4 Bedrooms,KSh 14000000
475,4 Bedroom House For Sale In Karen (Kenya) - 3KE1377553,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
476,Luxurious 5 Bedroom Executive Townhouse in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
477,4 Bedroom House For Sale In Langata (Kenya) - 3KE1375583,"Langata, Nairobi, Nairobi",4 Bedrooms,KSh 21000000
478,3 Bedroom Premium Houses in Kiambu Road,"Kiambu Road-Nairobi, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 28950000
479,Fabulous 5 Bedrooms Town House,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
480,Above The Crowd! Lavington Five Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 67000000
481,"Athi View, 4 Bedroom Maisonette ,opposite Syokimau Railway Station","Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12800000
482,5 Bedroom Town-House for sale in Kasarani,"Kasarani, Kasarani, Nairobi, Nairobi",5 Bedrooms,KSh 35000000
483,Stima Village House- Syokimau,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 10150000
484,Prestigious 2 Bedroom House for sale in Riruta,"Riruta, Riruta, Nairobi, Nairobi",2 Bedrooms,KSh 30000000
485,10 Bedroom House For Sale In Karen (Kenya) - 3KE1375839,"Karen, Nairobi, Nairobi",10 Bedrooms,KSh 150000000
486,Hardrock Park Juja,"Kenyatta Road, Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
487,3/4 Acre,"Isaac Gathanju road, Lavington, Nairobi, Nairobi",7 Bedrooms,KSh 180000000
488,LAVINGTON - 5 BEDROOMS  TOWN HOUSE.,"Off Gitanga road., Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
489,3 Bedroom Apartment,"kilimani kayahwe road, Kilimani, Nairobi, Nairobi",3 Bedrooms,KSh 17000000
490,Prestigious 4 Bedroom Villas in Karen,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 93000000
491,6 Bedroom House for sale in Karen,"Karen,nairobi, Karen, Nairobi, Nairobi",6 Bedrooms,KSh 90000000
492,For Sale - 2 Bedroom House,"Riruta, Riruta, Nairobi, Nairobi",2 Bedrooms,KSh 31000000
493,Kitengela Townhouses,"kitengela, Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 15000000
494,House at Karen Standalone,"karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
495,3 Bedroom Maisonette in Embakasi,"Embakasi, Embakasi, Nairobi, Nairobi",3 Bedrooms,KSh 9500000
496,5 Bedroom House For Sale In Karen (Kenya) - 3KE1304658,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 78000000
497,5 Bedroom House for sale in Karen - 3KE1344809,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
498,4 Bedroom Townhouse For Sale In Kiambu Road (Kenya) - 3KE1344062,"Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 26000000
499,4 Bedroom Maisonette at Ruiru,"Githunguri rd, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 9500000
500,6 Bedroom Ambassadorial House on 1.25 Acres in Old Runda,"Ruaka Drive, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 210000000
501,Very Spacious 5 Bedrooms All En Suite Town House in Lavington.,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
502,5 Bedroom House for Sale in Runda - 3KE1335208,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
503,Hardrock Park Kenyatta Road,"kenyatta road, Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
504,3 Bedroom House for sale in Kitengela,"Kitengela Namanga, Mombasa Road, Nairobi, Nairobi",3 Bedrooms,KSh 8000000
505,LAKE VIEW ESTATE - 4 BEDROOMS BUNGALOW ON 1/5 ACRE.,"LAKE VIEW ESTATE., Lower Kabete, Nairobi, Nairobi",4 Bedrooms,KSh 140000000
506,Amazing! Ruiru Membley Maisonette For Sale,"ruiru, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 17500000
507,5 Bedroom Townhouse in Lavington Nairobi,"Lavington Nairobi, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
508,6 Bedroom House With 2 Detached Sqs for sale Along Thika Road,"Kenyatta Rd, Thika Road, Nairobi, Nairobi",6 Bedrooms,KSh 16000000
509,7 Bedroom House in 1 Acre Land,"Thigiri, Nairobi, Nairobi",7 Bedrooms,KSh 175000000
510,KILIMANI - 4 BEDROOMS M-EN SUITE MAISSONETTE.,"OFF WOOD AVENUE, Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
511,5 Bedroom House for sale in Karen - 3ke1316306,"Miotoni, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 79000000
512,The Pearl,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 135000000
513,Ultra-Modern And Exquisite Mansion in Ridgeways,"Ridgeways, Ridgeways, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
514,House at Serenity Development - Kileleshwa,"Hamisi Road, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,KSh 18000000
515,"4 Bedroom House for sale, Utawala","Utawala, Utawala , Nairobi, Nairobi",4 Bedrooms,KSh 19000000
516,New 5 bedroom double storey plus DSQ for sale along Bogani Rd in Karen,"Bogani Rd, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
517,"Aspire Townhouses On Chalbi Drive, Lavington","Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 62000000
518,Elegant 4 Bedroom Maisonette at The Royal Ridge Courts,"Ruaka, Ruaka, Nairobi, Nairobi",4 Bedrooms,KSh 18000000
519,5 Bedroom Villa In Lower Kabete Road - 1352-1,"Lower Kabete, Nairobi, Nairobi",5 Bedrooms,KSh 105000000
520,"The Paddocks, 5 Bedroom Homes (9 Units) - 3 D Lane, Karen","Three D Lane, Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
521,4 Bedroom House For Sale In Kyuna (Kenya) - 3KE1338380,"Kyuna, Nairobi, Nairobi",4 Bedrooms,KSh 125000000
522,"5 Bedroom Townhouse To Let  in Karen, Nairobi","Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
523,4 Bedroom House For Sale In Donholm (Kenya) - 3KE1368406,"Donholm, Nairobi, Nairobi",4 Bedrooms,KSh 20000000
524,impressive 4 bedroom maisonette plus sq for sale in Dam Estate in Langata.,"Langata Rd, Langata, Nairobi, Nairobi",4 Bedrooms,KSh 15500000
525,4 Bedroom House in Rosslyn,"Rosslyn Lone Tree, Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 67300000
526,Edenville Villa - 4 Bedroom With Sq- Kiambu Rd,"Kiambu Rd, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 28000000
527,4 Bedroom Town House in Riara Road,"Riara Road, Nairobi, Nairobi",4 Bedrooms,KSh 47000000
528,Elegant 4 Bedroom Maisonette in Ruiru-Membley,"Membley, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
529,Elegant 4 Bedroom Townhouse in Lavington,"off Gitanga road, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
530,4 Bedroom House in Karen - 3KE1358996,"Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 165000000
531,Real cozy! Membley Beautiful Five Bedroom Maisonette,"Membley, Membley, Nairobi, Nairobi",5 Bedrooms,KSh 16000000
532,"5 Bedroom House, Eldoret","Riruta, Nairobi, Nairobi",5 Bedrooms,KSh 50000000
533,3 Bedroom Maisonette with DSQ in Kileleshwa for Sale.,"kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 30000000
534,Brand New House for sale in Karen - 3ke3004001,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 115000000
535,6bedroom house for sale in old muthaiga,"Muthaiga North, Nairobi, Nairobi",6 Bedrooms,KSh 400000000
536,Spacious 4 Bedroom Villas in Runda,"Azure Villas, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
537,5 Bedroom House For Sale In Rosslyn (Kenya) - 3KE1363057,"Rosslyn, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
538,5 Bedroom House For Sale In Karen (Kenya) - 3KE1304661,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 200000000
539,House for sale,"lower kabete, Kabete, Nairobi, Nairobi",4 Bedrooms,KSh 110000000
540,4 Bedroom House For Sale In Donholm (Kenya) - 3KE1368403,"Donholm, Nairobi, Nairobi",4 Bedrooms,KSh 16000000
541,4 Bedroom House For Sale In Karen (Kenya) - 3KE1323941,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
542,Beautiful 4 Bedroom Bungalow on 1/2 An Acre,"Dagoretti Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
543,Residential Units,"Bogani Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 88000000
544,"In-Depth Beauty, 5 Bedroom All En-Suite House for sale in Karen","Karen,nairobi, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 73000000
545,House For Sale In Westlands (Kenya) - 3KE1377368,"Westlands, Nairobi, Nairobi",5 Baths,KSh 70000000
546,4 Bedroom House For Sale In Karen (Kenya) - 3KE1320697,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 73000000
547,4 Bedroom Townhouse Masanduku Lane,"Masanduku lane, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 49000000
548,5 Bedroom Townhouse In Lavington - Othaya Road - 2209-8-S,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
549,5 Bedroom Townhouse in Lavington,"convent drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 72000000
550,4 Bedroom Townhouse For Sale In Mombasa Road (Kenya) - 3KE1361959,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
551,5 Bedroom Townhouse - 0.3 Acre In Lavington - Gitanga Road - 1651-6-I,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 82000000
552,"A Calm and Uniquely Designed 5 Bedrooms Townhouse, Lavington","Off Convent Drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
553,"Villa- Ridgeways, Kiambu Road","Ridgeways kiambu road, Ridgeways, Nairobi, Nairobi",7 Bedrooms,KSh 195000000
554,Karen Luxurious 4 Bedroom Townhouse,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 82000000
555,Picturesque Colonial Home for sale at Muthaiga,"Muthaiga, Muthaiga, Nairobi, Nairobi",5 Bedrooms,KSh 180000000
556,"An Inviting, Newly Built 5 Bedroom All En-Suite House","Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
557,4 Bedroom Farmhouse on 3 Acres of Land in Redhill - S304,"St Julians Road, Red Hill, Nairobi, Nairobi",4 Bedrooms,KSh 170000000
558,Private Family Paradise! Lavington Five Bedroom Townhouse With SQ,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
559,Lavington Sunset Dome! Four Bedroom Furnished Townhouse,"Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
560,4 Bed Standalone House In Westlands - David Osieli Road - 2021-1,"Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
561,Luxurious 5 Bedroom All En-Suite-Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
562,"Lavington, 5 Bedroom Townhouse","Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
563,Elegant 4 Bedroom Townhouse with Dsq in Lavington Near Valley Arcade,"Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 27000000
564,Kantafu Serene Homes,"Kangundo road, near Kantafu town, Kangundo Road, Nairobi, Nairobi",3 Bedrooms,KSh 3999000
565,4 Bedroom Townhouse on Mombasa Road - 3ke1361959,"Mombasa Road, Mombasa Road, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
566,5 Bed Standalone - 1.5 Acres In Lavington - Njumbi Road - 1457-I,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 200000000
567,9 bedrooms townhouse in kiamumbi kamiti road 7 ensuite,"Kiamumbi, Nairobi, Nairobi",9 Bedrooms,KSh 42000000
568,"6 Bedroom Townhouse For Sale in Karen, Nairobi","Karen, Karen, Nairobi, Nairobi",6 Bedrooms,KSh 95000000
569,4 bedroom Townhouse In Shanzu Road - 2164-7,"Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 135000000
570,"Corner Villas, Brookside Drive - Nairobi","Brookside, Brookside, Nairobi, Nairobi",5 Baths,KSh 52000000
571,House in Kyuna,"Kyuna, Kyuna, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
572,6 Bedroom Townhouse Membley,"Membley, Membley, Nairobi, Nairobi",6 Bedrooms,KSh 23000000
573,Ambassadorial Palace in Spring Valley,"peponi road, Spring Valley, Nairobi, Nairobi",11 Bedrooms,KSh 280000000
574,Stylish Courtyard Home in Kikenni,"Karen & Langata, Karen, Nairobi, Nairobi",8 Bedrooms,Contact seller for price
575,5 Bedroom House in Thome.,"Thome, Thome, Nairobi, Nairobi",5 Bedrooms,KSh 45000000
576,Suburban Splendor! Lavington Five Bedroom Townhouse with SQ,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 73000000
577,Karen Townhouse,"karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
578,Attention Grabber! Lavington Five Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
579,Secluded Leafy Retreat ! Lavington Five Bedroom Townhouse with SQ,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
580,Town House for sale,"Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 100000000
581,Beautiful 4 Bedroom Master En-Suite House on A True Acre Plot of Land,"Loresho, Loresho, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
582,Lavington High End 5 Bedroom Townhouse,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 82000000
583,Authentic 4 Bedroom Homes for sale,"Rosslyn, Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 82000000
584,5 Bedroom House on Kitisuru Road - L474,"Kitisuru Road, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 250000
585,5 Bedrooms all Ensuite Townhouse,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 45000000
586,Very Spacious 3 Bedrooms Apartment in Kilimani with Sq.,"Kilimani, Nairobi, Nairobi",3 Bedrooms,KSh 23000000
587,Fabulous 5 Bedrooms Town House,"Riverside Drive, Riverside, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
588,Modern 6 Br Town House,"Kitisuru, Nairobi, Nairobi",6 Bedrooms,KSh 165000000
589,3 Bedroom House in Ngumo,"Highview Estate phase II, Ngummo, Nairobi, Nairobi",3 Bedrooms,KSh 17000000
590,Fairfield Park,"Embakasi, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
591,4 Bedroom Townhouse For Sale in Kerarapon,"kerarapon Drive, Kerarapon, Nairobi, Nairobi",4 Bedrooms,KSh 38000000
592,"Four Bedroom Townhouse in Lukenya, Athi River","Lukenya, Nairobi, Nairobi",4 Bedrooms,Contact seller for price
593,4 Bedroom House,"Mountain View, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
594,5 bedroom townhouse 4 SALE. Lavington,"MAGETA ROAD, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 72000000
595,3 Bedrooms With Study In Lavington - Valley Arcade - 2096-B2,"Lavington, Nairobi, Nairobi",3 Bedrooms,KSh 27000000
596,Townhouse in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 58000000
597,Runda - 5 Bedroom Town-House,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
598,5 Bedroom House For Sale in Roslyn,"Rosslyn, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
599,5 Bedroom Townhouse for sale in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
600,2 Elegant Homes in One Compound,"Kitisuru Road, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 250000000
601,Spring Valley Ambassadorial Palace,"Spring Valley, Nairobi, Nairobi",11 Bedrooms,KSh 290000000
602,"Executive 4 Bedroom Maisonette for sale , Sosian Donholm","Donholm, Donholm, Nairobi, Nairobi",4 Bedrooms,KSh 13000000
603,4 Bedroom Heliconia Villa Lower Kabete Road  Nairobi,"Lower Kabete, Nairobi, Nairobi",4 Bedrooms,KSh 110
604,Beautiful 4 Bedroom House in Runda - 3ke1347171,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
605,Elegant 4 Bedroom Master Ensuite Townhouses for sale in Ruiru,"Ruiru, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 8000000
606,4 Bedroom House for sale in Karen - 3ke1331475,"Ndovu Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 185000000
607,4 Bedroom House for sale in Embakasi - 3ke1218789,"Embakasi, Embakasi, Nairobi, Nairobi",4 Bedrooms,KSh 12500000
608,"Modern 4 And 5 Bedroom Maisonette, Syokimau","off Kiungani Road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 11500000
609,Modern House near Muthaiga North Estate,"Thome, Thome, Nairobi, Nairobi",4 Bedrooms,KSh 100000000
610,KAREN / KERARAPON - 3 BEDROOMS BUNGALOW.,"KERARAPON DRIVE., Karen, Nairobi, Nairobi",3 Bedrooms,KSh 25000000
611,4 Bedroom House for sale in Karen - 3ke1321420,"Karen Hardy, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 72000000
612,5 Bedroom Townhouse for sale in Lavington,"Convent Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 76000000
613,Elegant 4 Bedroom Maisonette for sale in Kiambu,"Kiambu, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 15000000
614,6 Bedroom Townhouse in Its Own Compound in Kileleshwa,"Mwingi, Kileleshwa, Nairobi, Nairobi",6 Bedrooms,KSh 70000000
615,4 Bed Deluxe Villas In Riversedge - 1810-24-I,"Red Hill, Nairobi, Nairobi",4 Bedrooms,KSh 32000000
616,Elegant 4 Bedroom Mansion - Kitisuru,"Kirawa Rd, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 59000000
617,The Residences Luxury Apartments & Penthouses at General Mathenge Drive - Nairobi,"Mathenge Road, Mathenge Road, Nairobi, Nairobi",NO001HO83ZSUINTRESKE Object ID,Contact seller for price
618,SOUTH B RIVER BANK - MAISONETTE (CONVERTED INTO  BEDSITTERS),"RIVER BANK ESTATE., South B, Nairobi, Nairobi",6 Bedrooms,KSh 17000000
619,3 Bedroom Apartment,"lavington masaduku line, Lavington, Nairobi, Nairobi",3 Bedrooms,KSh 24000000
620,Town House in Muthaiga North,"off Kiambu Road on Coffee Gardens Drive, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
621,"Well Priced 4 Bedroom Home , New Runda","New Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 35000000
622,"4 Bedroom House in Lake View Estate, Kitisuru","Lake View, Nairobi, Nairobi",4 Bedrooms,KSh 120000000
623,RUNDA - 6 BEDROOMS - ALL EN SUITE DOUBLE STOREY HOUSE,"pan african insurance road, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 180000000
624,4 Bedroom Maisonette at Juja Farm Town on 1/4 an Acre.,"Juja Farm Maisonette, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 3550000
625,Elegant 4 Bedroom House,"near the hub, Karen, Nairobi, Nairobi",4 Bedrooms,Contact seller for price
626,5 Bedroom Townhouse for sale57m,"Brookside Gardens , Westlands, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 57000000
627,"4 Bed Spacious and Magnificent Townhouse with DSQ off Grevillea Grove- Spring Valley, Nairobi","GREVILLEA GROVE, Spring Valley, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
628,Lovely Colonial House In Muthaiga,"Muthaiga Crescent, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 210000000
629,Hardrock Park Estate,"Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
630,River View Estate  3 Bedroom Bungalows Along Thika Road.,"Thika Road, Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 2750000
631,Palatial Home,"KAREN, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
632,"Elegant 5 Bedroom Double-Storey , Along Thika Rd","Clay City, Kasarani, Nairobi, Nairobi",5 Bedrooms,KSh 22000000
633,"Lower Kabete, 4 Bedroom House","lower kabete, Lower Kabete, Nairobi, Nairobi",4 Bedrooms,KSh 115000000
